groupname;#hashtag1;#hashtag2;#hashtag3;#hashtag4;#hashtag5;#hashtag6;#hashtag7;#hashtag8;#hashtag9;#hashtag10
A;4;6;8;7;14;16;16;8;13;8
B;7;13;12;14;4;13;13;9;6;9
A;3;12;5;11;12;8;12;10;13;14
A;10;9;7;7;14;11;14;9;10;9
A;9;16;19;17;14;9;4;5;4;3
A;12;14;7;16;9;11;6;14;7;4
A;9;16;18;13;15;7;9;5;6;2
A;6;9;8;4;12;13;10;14;15;9
A;8;14;13;23;12;6;5;11;4;4
A;4;7;10;8;14;11;9;20;9;8
A;8;4;6;11;16;9;17;8;8;13
A;12;14;17;12;9;11;8;7;4;6
B;8;6;16;11;13;13;15;8;7;3
A;15;15;13;11;13;11;8;7;3;4
A;11;16;10;15;17;4;12;4;5;6
B;5;8;13;11;14;9;12;3;12;13
A;11;16;12;13;8;9;13;8;8;2
A;14;12;13;14;14;6;10;5;9;3
A;4;6;4;10;7;13;11;19;16;10
A;14;19;9;11;13;9;12;3;3;7
A;5;4;10;6;10;17;10;7;19;12
A;10;10;13;20;15;10;3;10;7;2
A;11;12;17;13;17;11;3;3;10;3
A;2;6;11;8;11;15;14;11;11;11
A;5;3;9;12;12;13;8;11;14;13
A;6;4;11;9;13;10;10;18;11;8
B;8;5;12;17;11;10;16;12;2;7
A;8;8;8;14;15;7;7;14;9;10
A;3;7;4;6;14;16;14;11;17;8
A;8;4;7;13;11;13;7;8;16;13
A;12;19;18;11;6;15;5;3;5;6
B;6;17;13;14;6;16;8;9;6;5
A;12;18;17;10;13;5;6;9;7;3
A;16;12;12;12;14;10;4;9;9;2
B;8;8;10;9;15;11;10;12;10;7
A;6;8;11;5;6;15;14;17;10;8
A;11;16;14;18;9;6;7;6;7;6
B;5;9;6;15;21;12;7;9;11;5
B;7;10;18;10;15;12;6;8;9;5
A;8;19;12;12;17;7;10;6;2;7
A;10;15;11;14;11;13;11;8;5;2
B;9;9;10;13;9;12;6;15;8;9
A;6;9;6;11;8;12;14;18;6;10
A;12;14;14;9;6;13;9;12;5;6
A;5;3;15;9;10;14;12;14;12;6
A;13;12;12;15;13;12;10;4;6;3
A;4;3;10;17;11;11;9;9;16;10
A;16;12;12;9;12;12;10;6;5;6
A;10;15;16;11;9;13;8;11;5;2
A;5;6;11;7;16;10;6;15;11;13
A;5;9;11;7;12;7;9;15;15;10
A;16;11;13;13;12;10;6;9;6;4
A;7;6;9;13;9;18;10;13;10;5
B;6;12;13;14;9;9;15;6;10;6
A;8;7;15;11;9;12;12;11;11;4
B;9;10;11;18;12;8;8;9;9;6
B;13;9;11;14;9;7;8;8;13;8
A;7;11;6;13;14;11;7;12;9;10
B;7;6;10;14;18;12;12;10;8;3
A;8;5;8;8;9;11;16;19;12;4
A;12;13;16;15;14;8;12;3;5;2
A;15;12;13;14;10;13;11;4;4;4
B;11;6;10;9;12;11;16;8;10;7
A;11;11;14;17;15;5;11;6;4;6
A;7;5;4;10;11;18;10;16;12;7
B;7;8;10;10;22;12;11;7;7;6
A;6;6;7;8;17;14;11;13;10;8
A;15;8;15;10;10;15;5;6;11;5
B;7;6;7;15;15;13;14;12;8;3
A;2;6;7;9;14;18;8;11;12;13
A;9;12;12;17;12;12;10;4;7;5
B;6;13;6;13;15;15;12;6;9;5
B;7;15;11;17;14;14;4;10;6;2
A;3;5;8;6;13;15;16;15;10;9
B;8;12;12;8;16;14;8;9;7;6
B;10;12;8;15;12;8;11;6;10;8
A;3;3;5;12;9;11;22;10;13;12
B;9;10;10;10;11;17;10;10;8;5
A;3;7;9;8;13;17;10;19;11;3
A;12;16;11;14;10;12;8;8;4;5
A;7;9;4;13;6;15;19;10;7;10
A;10;16;14;10;16;10;12;3;5;4
A;1;11;1;9;15;19;11;10;14;9
A;2;9;8;12;13;19;13;9;9;6
B;13;5;8;15;15;12;11;4;13;4
A;6;9;10;11;8;11;12;16;11;6
A;11;10;24;9;14;8;5;11;3;5
A;17;13;14;11;11;11;7;10;4;2
A;11;13;7;18;17;7;9;8;4;6
A;10;16;11;18;11;9;11;6;5;3
B;8;15;10;7;13;12;8;6;13;8
B;10;12;8;7;13;11;8;13;9;9
A;14;20;16;12;9;11;4;8;4;2
B;6;9;13;7;9;12;14;13;8;9
A;8;6;7;13;13;14;10;10;12;7
A;17;14;9;9;8;13;11;8;7;4
B;8;5;9;13;19;12;7;11;8;8
B;8;16;9;11;17;8;9;6;7;9
B;7;10;11;14;8;10;14;12;9;5
A;14;10;12;14;14;15;5;10;5;1
A;6;8;9;10;11;14;14;8;8;12
B;9;10;9;10;5;17;13;9;10;8
A;16;8;18;11;12;11;7;7;5;5
B;6;8;8;13;20;7;15;8;9;6
A;16;14;15;8;13;9;9;6;7;3
B;7;7;13;12;13;10;9;16;7;6
A;2;7;10;12;19;12;13;6;6;13
B;8;9;13;6;10;11;11;12;11;9
B;13;8;10;9;10;14;11;11;12;2
A;3;9;9;10;10;16;10;11;11;11
A;11;14;11;15;13;4;11;9;7;5
A;9;8;11;13;18;12;12;8;7;2
A;10;17;12;20;10;8;7;6;4;6
B;9;17;13;12;12;12;6;6;8;5
B;13;10;10;12;13;12;10;6;4;10
B;10;14;11;15;10;14;4;9;9;4
A;4;5;10;8;7;13;18;12;12;11
A;16;16;17;11;16;3;8;2;6;5
A;7;9;6;9;16;10;13;9;9;12
A;9;14;17;15;13;10;10;8;2;2
A;20;21;9;8;12;4;11;2;5;8
B;8;11;10;14;9;13;7;12;6;10
A;10;12;9;20;11;10;14;6;6;2
B;7;9;9;16;25;3;7;11;8;5
A;6;4;6;11;14;15;16;6;9;13
A;4;12;7;9;13;12;9;9;16;9
A;7;7;7;12;11;13;11;12;9;11
B;7;6;13;12;19;8;10;12;9;4
B;9;7;14;14;11;11;13;7;9;5
B;7;18;16;10;14;9;8;5;8;5
A;12;17;10;15;13;13;6;4;7;3
B;9;12;8;14;13;12;10;9;7;6
A;7;9;5;14;10;10;18;8;10;9
A;9;14;11;17;15;10;13;5;4;2
A;5;5;8;17;13;9;7;9;15;12
A;18;7;12;11;21;10;7;3;5;6
A;7;16;11;12;16;10;7;6;9;6
B;7;13;10;11;11;14;10;3;9;12
A;9;12;15;14;13;10;9;3;11;4
A;3;7;12;10;8;10;16;12;10;12
A;13;16;17;17;4;14;5;5;3;6
A;1;5;6;6;15;15;18;17;10;7
B;11;12;14;12;12;11;11;7;9;1
A;1;8;10;11;10;11;14;11;11;13
B;9;15;9;13;12;14;14;8;1;5
A;11;21;11;12;9;13;6;7;5;5
A;14;14;5;20;12;13;12;7;1;2
B;5;11;9;14;13;19;13;11;3;2
B;11;12;10;16;6;6;10;8;11;10
B;5;10;9;14;12;10;13;13;8;6
B;12;10;15;9;17;8;13;7;6;3
B;7;5;15;14;15;13;16;6;2;7
A;4;5;2;12;9;16;12;20;11;9
A;3;7;7;14;7;12;14;14;12;10
A;9;14;12;9;12;16;14;7;4;3
A;10;11;14;13;17;8;9;3;12;3
B;6;13;11;16;11;11;9;6;11;6
A;4;5;11;11;11;8;11;14;16;9
A;4;9;4;12;7;15;15;15;12;7
A;17;14;8;10;13;14;8;7;8;1
A;6;3;9;10;12;11;13;15;10;11
B;10;9;8;10;14;9;13;9;10;8
A;13;21;12;6;12;16;6;7;4;3
A;9;15;13;12;18;8;8;6;8;3
B;8;9;13;11;10;15;10;9;12;3
A;13;12;7;12;12;13;6;11;7;7
A;4;14;12;11;23;12;6;7;8;3
B;13;8;12;10;10;11;12;12;7;5
A;8;2;9;12;9;11;11;16;12;10
A;6;7;6;10;17;10;13;12;11;8
B;5;5;13;10;15;14;13;11;7;7
A;3;5;14;6;10;16;11;15;9;11
A;5;5;10;9;13;11;14;18;8;7
B;6;8;9;19;10;15;9;12;6;6
A;10;8;11;13;11;13;14;11;5;4
A;4;11;6;8;7;9;12;17;13;13
A;18;11;11;10;15;9;7;7;8;4
B;9;4;12;11;15;11;10;8;11;9
B;6;14;11;13;11;14;7;9;7;8
A;2;5;13;8;7;13;14;10;18;10
A;7;21;13;16;10;10;9;7;4;3
A;12;16;14;12;18;12;6;5;0;5
A;14;8;15;12;12;11;9;13;3;3
B;10;12;12;15;7;9;7;9;10;9
B;6;9;11;11;12;7;13;13;7;11
A;12;17;11;13;13;9;8;8;7;2
A;9;8;5;11;9;14;13;16;9;6
B;7;6;16;16;17;11;9;7;5;6
A;5;6;8;14;8;11;20;9;9;10
B;8;11;7;15;15;10;8;10;10;6
A;5;3;7;18;10;12;10;13;13;9
B;9;9;17;17;10;9;13;9;1;6
A;10;11;13;14;9;8;14;9;9;3
A;7;17;13;10;22;15;6;4;2;4
B;13;2;7;10;12;16;9;13;9;9
A;8;16;17;11;15;10;7;8;7;1
B;7;9;12;8;12;12;12;8;8;12
A;13;14;16;12;17;12;6;7;1;2
A;14;14;7;10;12;15;12;4;6;6
A;3;5;7;12;9;22;13;17;5;7
A;12;12;10;19;12;8;15;5;6;1
A;14;12;14;10;12;7;9;12;6;4
A;7;5;14;8;15;14;11;8;11;7
B;12;9;9;13;8;10;9;13;12;5
A;4;4;6;10;6;11;14;14;17;14
B;5;15;16;17;12;11;6;6;7;5
A;7;5;4;7;8;9;14;20;15;11
A;17;13;13;14;8;12;5;7;7;4
A;10;19;14;13;9;13;7;8;4;3
A;10;13;16;15;8;10;9;11;5;3
A;6;11;8;12;13;16;6;7;11;10
A;12;16;15;8;8;8;11;11;8;3
B;10;12;8;14;14;8;13;4;9;8
A;20;4;15;13;11;15;6;10;2;4
B;5;7;15;12;12;12;12;11;9;5
A;11;12;16;13;9;12;9;6;8;4
B;6;11;8;16;10;13;10;10;10;6
A;11;12;18;13;12;8;11;9;2;4
A;9;3;8;9;12;14;7;13;15;10
A;2;7;12;9;10;16;14;9;8;13
A;11;14;15;11;13;9;8;10;3;6
A;3;4;10;14;13;14;12;11;8;11
B;8;12;8;14;9;15;13;11;7;3
A;13;11;16;16;10;5;9;11;4;5
A;8;11;16;18;10;12;10;8;3;4
A;7;18;20;5;13;12;10;5;7;3
A;4;4;8;11;11;15;13;14;10;10
B;7;6;13;16;11;10;13;8;5;11
A;8;4;8;8;7;14;13;19;10;9
A;8;2;5;13;9;11;17;13;7;15
A;6;5;15;7;10;8;18;11;9;11
A;12;6;14;13;13;10;9;12;9;2
A;10;12;12;17;8;13;9;8;8;3
B;8;9;4;15;20;8;8;11;11;6
B;7;12;11;15;12;8;7;14;6;8
B;5;9;13;11;7;10;14;8;14;9
A;9;12;16;13;14;13;6;8;5;4
B;9;12;11;11;14;13;5;10;6;9
A;3;9;6;10;22;7;10;17;6;10
A;4;8;6;9;13;16;13;7;16;8
B;11;12;17;12;7;6;10;8;12;5
A;15;18;14;16;11;12;4;3;4;3
A;6;6;11;10;10;12;15;10;7;13
B;7;10;14;6;13;15;13;10;6;6
A;4;7;12;7;14;10;10;11;16;9
B;7;14;10;9;17;10;10;10;3;10
B;8;9;12;11;11;14;12;6;10;7
A;11;14;10;14;10;11;10;8;8;4
A;16;16;12;11;10;11;5;5;9;5
A;4;9;8;14;7;11;16;10;10;11
A;18;9;11;12;15;12;6;8;3;6
A;5;6;8;9;15;11;9;13;13;11
A;13;11;16;17;9;11;5;9;4;5
A;12;12;13;13;19;11;11;4;3;2
B;6;12;11;13;11;15;6;9;8;9
A;6;1;9;16;10;12;12;13;13;8
B;8;5;12;21;15;9;7;10;8;5
B;9;8;9;11;17;11;10;6;9;10
B;8;10;12;14;10;14;11;7;10;4
B;11;7;9;14;10;15;11;9;7;7
A;13;10;20;12;11;9;7;6;8;4
A;7;8;7;11;10;9;13;12;13;10
B;4;9;8;12;15;12;13;13;9;5
A;4;11;5;9;15;11;10;10;12;13
A;10;13;14;10;12;8;11;8;10;4
A;10;14;16;15;15;8;9;7;4;2
B;4;7;10;15;8;13;16;8;13;6
A;10;13;17;15;10;11;8;6;6;4
A;6;7;8;9;8;13;13;13;10;13
B;10;9;10;10;10;19;9;10;4;9
B;9;6;11;6;18;7;10;18;9;6
A;13;10;20;7;15;9;7;6;7;6
B;7;7;19;10;13;10;12;8;4;10
A;13;16;9;12;12;15;7;10;5;1
B;9;12;10;15;8;16;7;12;6;5
A;11;10;15;11;20;6;9;7;8;3
A;15;11;7;16;16;12;4;6;10;3
A;5;8;11;10;15;8;14;10;8;11
A;7;18;7;20;13;10;11;6;5;3
A;6;4;11;9;15;12;11;13;11;8
B;10;11;13;7;11;14;8;11;8;7
B;11;9;12;13;12;15;6;9;5;8
A;14;9;10;20;13;9;7;7;6;5
B;7;14;10;14;12;16;5;9;3;10
A;9;7;8;12;8;12;8;11;10;15
B;17;9;8;9;11;10;14;11;4;7
B;8;17;14;8;6;11;11;12;10;3
A;6;9;14;3;11;10;14;18;11;4
A;6;7;11;9;17;14;13;7;12;4
A;3;5;11;11;9;12;16;8;14;11
A;6;3;9;17;17;12;5;14;13;4
A;16;14;12;10;13;7;10;8;5;5
A;9;6;5;9;9;13;15;13;12;9
A;8;4;9;9;9;14;14;10;17;6
B;8;9;9;14;11;11;14;8;6;10
B;4;11;10;6;13;21;8;5;14;8
B;7;13;13;11;14;8;11;11;6;6
A;5;6;8;7;12;9;15;16;13;9
A;3;6;7;10;14;8;12;10;13;17
A;16;17;12;9;8;13;7;11;3;4
A;11;7;5;9;10;11;14;8;15;10
A;7;8;6;12;16;11;11;10;6;13
A;4;5;9;11;15;15;10;13;8;10
A;19;5;11;13;7;17;5;9;7;7
B;11;11;16;17;7;6;10;7;6;9
B;8;12;7;7;16;14;9;10;8;9
A;4;2;13;11;10;10;17;15;10;8
A;2;2;10;10;14;14;14;8;17;9
A;6;12;12;7;12;11;7;14;14;5
A;5;9;7;9;13;12;10;16;10;9
A;4;3;15;10;11;16;9;9;15;8
B;11;11;11;8;8;12;9;13;9;8
B;9;7;7;6;14;13;14;12;13;5
A;14;11;14;11;14;9;9;10;3;5
B;7;8;13;12;13;7;10;15;9;6
A;2;7;13;8;11;15;11;15;10;8
B;14;5;6;16;18;11;9;11;3;7
B;3;8;7;14;14;14;10;14;8;8
A;5;15;18;16;10;11;8;11;5;1
A;18;9;13;14;9;19;5;5;4;4
B;10;11;9;10;13;7;11;11;8;10
A;10;5;20;19;6;12;8;10;7;3
A;12;11;15;11;14;10;6;11;5;5
A;9;7;8;8;7;11;15;15;10;10
B;9;15;8;11;13;14;9;7;10;4
A;15;10;13;13;16;8;10;10;3;2
A;4;6;8;14;12;10;14;12;12;8
A;22;13;16;9;15;5;6;6;4;4
A;14;13;9;11;14;11;8;10;5;5
A;13;15;9;16;8;13;13;7;5;1
A;16;10;13;16;9;10;12;6;4;4
A;5;2;9;14;8;10;14;14;16;8
A;5;4;9;6;8;22;12;19;6;9
B;7;8;9;10;15;9;12;10;12;8
A;7;1;8;11;12;12;15;12;12;10
A;11;8;15;18;12;14;5;7;7;3
A;6;7;13;17;13;18;8;7;6;5
B;11;14;5;13;16;12;8;7;4;10
A;15;19;15;14;13;9;3;6;3;3
A;7;3;10;9;11;14;11;14;9;12
A;7;8;3;8;14;16;8;10;12;14
B;4;6;13;15;12;14;9;10;10;7
B;8;12;5;16;9;6;11;9;10;14
A;8;16;11;9;12;13;9;11;6;5
B;9;10;13;9;16;13;11;7;6;6
A;12;14;13;15;10;9;11;7;6;3
A;5;9;6;7;13;14;20;7;8;11
A;4;5;10;9;10;11;15;16;11;9
A;7;4;13;13;12;14;10;11;10;6
A;12;11;11;17;13;14;11;5;4;2
A;11;20;10;16;11;10;10;6;3;3
B;7;15;7;13;12;13;8;13;9;3
B;10;7;11;12;12;12;9;13;8;6
A;11;11;18;13;16;11;9;6;3;2
B;6;9;15;14;10;16;8;13;7;2
B;7;3;12;9;15;11;17;12;6;8
A;5;8;9;8;11;11;14;11;11;12
B;14;6;13;15;12;11;13;11;1;4
B;10;6;5;11;16;17;11;5;13;6
A;16;11;20;10;14;7;10;7;4;1
B;9;6;14;16;10;6;10;12;7;10
A;4;10;7;17;16;7;11;10;11;7
A;13;9;16;17;10;12;6;6;7;4
B;9;7;10;14;12;10;11;12;11;4
B;13;9;10;15;15;9;9;8;9;3
A;6;5;11;11;13;15;9;13;10;7
A;18;15;9;15;16;11;5;5;4;2
A;12;13;20;11;11;7;10;7;5;4
A;8;16;10;19;16;12;5;8;3;3
A;3;8;9;8;12;15;9;15;13;8
A;5;7;11;12;10;9;15;10;13;8
