groupname;#hashtag1;#hashtag2;#hashtag3;#hashtag4;#hashtag5;#hashtag6;#hashtag7;#hashtag8;#hashtag9;#hashtag10
C;1;7;5;6;8;14;16;15;12;16
B;8;11;6;12;14;17;17;5;7;3
C;5;4;7;6;12;11;16;16;18;5
C;2;7;5;8;14;9;25;13;9;8
A;13;12;15;22;13;6;8;9;1;1
B;5;10;10;18;14;12;14;10;6;1
B;9;15;10;16;16;10;9;6;3;6
A;12;17;14;21;14;5;10;4;1;2
A;13;15;14;14;10;16;7;7;4;0
B;6;3;9;13;12;23;9;10;11;4
C;1;7;10;9;7;12;19;12;16;7
C;1;5;9;10;12;16;18;18;6;5
C;1;4;7;6;11;12;15;16;18;10
C;2;3;6;12;8;14;20;12;16;7
C;2;4;6;12;15;14;10;19;5;13
B;13;13;8;17;11;12;3;13;8;2
B;9;8;9;16;18;14;9;9;3;5
B;8;4;14;17;14;11;13;10;7;2
C;1;5;9;10;13;7;13;20;12;10
B;6;9;10;14;16;18;8;7;7;5
B;6;9;10;15;12;14;12;13;6;3
B;8;12;7;7;12;18;16;4;11;5
A;6;13;17;13;17;8;11;9;2;4
B;7;9;16;19;6;15;12;8;5;3
B;5;11;13;14;10;8;13;13;8;5
C;1;5;9;15;7;19;13;10;14;7
C;0;4;12;3;13;14;16;15;16;7
C;1;6;4;17;12;11;11;19;11;8
C;2;5;7;7;15;15;18;13;14;4
A;15;15;16;15;15;7;12;4;0;1
B;11;10;12;17;13;7;10;7;11;2
C;2;3;11;8;13;19;15;11;8;10
B;5;9;5;10;20;18;12;6;12;3
C;5;5;5;8;8;21;11;14;16;7
B;5;4;12;11;19;12;14;13;6;4
B;4;8;18;14;13;16;7;11;4;5
C;3;4;6;10;13;20;13;14;9;8
B;5;11;8;14;6;17;17;7;9;6
C;7;4;8;11;10;11;12;9;17;11
C;1;5;8;5;15;15;16;13;11;11
B;3;12;8;18;13;11;11;11;10;3
B;10;2;13;10;18;19;11;7;7;3
C;5;7;10;10;11;9;7;17;12;12
C;1;4;6;10;13;11;12;16;18;9
A;21;19;19;14;7;11;4;2;3;0
A;12;16;20;14;11;14;4;2;3;4
C;4;7;7;14;13;11;16;12;6;10
A;12;17;15;17;16;6;8;5;3;1
A;13;17;15;15;16;10;7;3;2;2
C;4;3;12;7;15;13;16;10;9;11
B;4;12;10;14;15;16;8;10;6;5
A;11;12;16;16;18;11;11;1;2;2
B;7;9;14;13;14;13;12;7;7;4
C;5;6;4;10;12;14;13;18;9;9
C;1;5;1;14;13;14;11;18;13;10
C;5;3;2;9;11;16;16;20;14;4
A;13;16;20;18;9;10;7;5;0;2
A;14;16;14;20;12;10;7;4;3;0
A;14;22;12;10;21;4;8;5;1;3
A;13;12;18;13;11;12;11;7;1;2
A;20;15;10;11;15;9;10;3;4;3
A;11;21;12;12;15;12;8;2;6;1
A;13;17;17;10;14;10;4;11;4;0
A;16;15;19;15;11;9;8;4;2;1
C;2;6;8;9;8;13;12;18;14;10
B;3;4;23;18;11;7;18;8;6;2
B;2;12;12;14;12;15;17;8;6;2
C;6;5;4;11;11;14;15;17;10;7
A;16;16;21;13;13;8;7;4;1;1
B;5;7;15;16;15;14;17;5;2;4
C;3;3;8;18;17;10;11;15;6;9
A;16;14;25;16;9;9;6;5;0;0
B;4;8;12;10;26;14;10;8;5;3
B;6;9;10;17;12;15;11;8;6;6
C;5;3;10;4;14;13;14;15;12;10
C;3;3;4;8;14;19;18;14;9;8
B;5;8;7;12;21;13;15;10;3;6
C;2;2;11;11;9;15;15;13;9;13
B;6;12;12;15;14;14;8;9;6;4
C;1;7;6;10;12;16;17;7;10;14
C;7;6;2;7;16;15;15;12;12;8
B;2;6;10;16;15;20;14;8;5;4
C;4;5;9;16;6;15;10;13;8;14
B;7;11;12;19;10;9;16;7;4;5
B;7;4;11;18;16;7;16;11;5;5
C;2;6;6;6;14;14;19;13;9;11
B;3;8;11;15;7;13;18;13;8;4
A;14;13;18;13;16;12;7;4;2;1
B;7;8;12;14;16;6;12;18;4;3
B;7;6;20;14;15;14;9;7;8;0
A;17;16;13;16;15;12;7;3;1;0
C;3;1;5;6;14;17;17;13;13;11
C;4;5;5;9;10;17;12;11;12;15
C;2;4;7;10;14;17;13;12;13;8
A;14;18;13;13;14;9;9;4;2;4
C;1;5;7;9;17;15;14;10;12;10
A;13;22;13;13;13;10;6;5;2;3
A;14;15;18;12;13;8;6;7;3;4
B;9;11;15;12;12;12;8;12;3;6
B;5;9;14;11;12;13;13;9;8;6
C;2;5;10;8;9;17;10;11;12;16
A;13;14;19;11;13;15;8;3;2;2
A;20;13;24;10;12;11;5;3;2;0
A;11;14;11;15;17;13;11;5;2;1
A;13;11;21;19;14;8;2;6;6;0
A;16;15;18;17;12;10;5;3;3;1
B;4;9;12;14;12;16;11;11;4;7
A;15;13;16;21;9;9;9;5;1;2
C;1;2;6;15;11;12;11;8;19;15
A;15;14;17;12;11;10;9;5;6;1
B;5;15;8;11;12;19;7;13;7;3
A;14;20;16;16;9;6;12;3;4;0
A;18;19;14;10;9;12;8;6;4;0
A;10;17;22;13;10;13;5;6;2;2
A;16;9;13;21;8;8;10;8;7;0
C;3;2;10;7;13;17;17;15;5;11
C;0;6;8;9;16;14;16;11;9;11
B;8;9;10;13;13;12;15;8;4;8
B;6;7;13;11;13;18;10;12;8;2
A;16;18;12;18;16;8;5;6;1;0
B;7;11;8;16;16;12;15;5;4;6
A;9;14;21;17;13;7;7;8;3;1
A;15;14;14;19;11;13;7;2;3;2
B;4;8;11;15;12;11;20;8;7;4
A;12;12;19;12;13;12;10;7;1;2
C;1;1;3;10;17;14;20;12;10;12
A;17;10;24;15;10;9;8;5;1;1
C;2;4;13;9;12;16;11;14;11;8
B;4;9;8;12;18;16;13;9;6;5
C;3;3;6;15;9;14;10;17;15;8
A;9;16;16;14;14;14;8;4;5;0
C;8;5;8;12;13;13;13;12;12;4
A;12;17;10;26;8;8;7;6;5;1
C;3;4;5;8;13;14;14;16;10;13
A;16;13;10;11;18;12;9;9;1;1
C;1;10;8;6;10;10;12;16;14;13
B;8;1;7;14;19;16;20;6;6;3
B;5;11;12;14;16;13;8;9;6;6
C;2;2;8;8;14;15;14;18;11;8
B;6;4;9;18;13;23;13;5;6;3
C;4;3;6;14;11;10;16;15;12;9
B;12;5;14;22;11;15;11;5;3;2
A;9;17;19;12;18;10;8;4;1;2
B;9;8;12;11;12;12;13;12;5;6
C;0;7;9;8;13;12;13;23;8;7
A;15;16;22;10;13;8;8;6;2;0
A;14;15;21;11;13;8;6;3;7;2
A;14;15;9;15;15;10;9;6;3;4
A;13;16;11;8;20;11;9;4;4;4
C;4;5;4;15;15;23;14;5;9;6
A;17;15;15;18;11;13;6;3;2;0
B;3;4;12;16;16;18;16;10;2;3
A;15;12;12;17;11;8;8;8;6;3
C;3;3;13;8;12;8;10;18;10;15
B;6;10;15;14;8;15;10;10;6;6
B;3;16;9;15;15;11;7;10;7;7
B;6;9;12;7;17;9;12;14;9;5
C;3;4;4;12;9;16;20;10;13;9
B;5;8;10;14;21;15;10;5;7;5
A;22;15;21;16;10;5;10;0;1;0
C;2;2;3;7;9;13;20;24;14;6
A;14;14;13;18;18;8;3;5;5;2
B;8;10;11;10;22;12;11;11;3;2
C;2;5;5;10;16;10;14;16;13;9
B;6;8;11;15;22;15;9;5;3;6
C;1;6;8;10;14;17;13;15;10;6
A;14;16;15;10;12;13;11;1;4;4
A;16;18;14;20;14;5;6;4;2;1
B;10;12;10;12;10;13;10;8;8;7
B;6;13;10;4;14;9;13;17;4;10
B;4;11;11;15;17;18;7;6;5;6
A;13;16;12;22;13;12;6;2;4;0
B;7;13;13;11;13;12;15;5;7;4
C;2;7;10;7;12;17;15;12;8;10
A;10;12;18;18;9;12;7;7;5;2
A;13;21;14;18;13;9;5;5;0;2
C;2;6;3;6;15;17;17;13;11;10
C;5;5;10;9;12;15;9;12;17;6
A;9;15;22;16;11;9;9;5;3;1
C;0;5;8;10;13;13;12;11;17;11
A;20;11;22;11;12;11;9;3;1;0
B;4;13;13;10;20;15;12;2;9;2
C;5;5;9;9;11;17;16;14;7;7
B;5;10;8;15;9;16;16;11;6;4
A;16;14;19;11;12;8;10;7;2;1
C;6;3;7;12;10;17;18;8;6;13
B;6;9;11;13;12;12;9;13;11;4
B;5;9;9;19;12;16;15;8;1;6
A;15;14;17;16;17;7;8;2;2;2
C;3;2;5;13;11;13;18;15;5;15
B;3;10;13;11;18;13;15;8;5;4
B;4;7;14;13;11;15;16;13;6;1
C;3;5;4;12;13;12;16;13;11;11
B;8;9;10;20;10;17;7;6;9;4
A;11;10;16;15;20;9;11;3;4;1
A;18;9;17;9;18;9;9;8;2;1
A;13;16;17;14;15;8;9;5;1;2
B;10;9;7;13;12;16;13;6;7;7
A;13;15;14;17;17;13;5;4;2;0
B;4;8;14;7;20;16;11;8;9;3
A;12;11;16;14;21;11;7;3;3;2
B;5;3;8;16;22;11;14;9;7;5
B;7;4;13;15;10;15;15;9;7;5
A;14;18;21;11;16;8;6;3;2;1
B;6;10;11;13;20;12;11;8;2;7
A;17;15;19;13;10;11;8;2;4;1
A;14;15;14;15;14;13;5;4;3;3
B;8;6;10;11;13;21;8;10;8;5
C;3;7;7;11;25;7;10;17;10;3
B;10;7;10;15;20;11;9;11;3;4
A;15;21;19;12;14;10;5;1;2;1
B;9;10;12;18;6;15;10;11;6;3
C;1;7;5;11;11;10;13;17;15;10
B;5;11;18;12;13;7;12;10;8;4
C;3;6;7;10;10;12;18;11;14;9
A;13;17;17;10;17;10;8;3;3;2
A;13;17;19;16;11;10;3;10;1;0
C;2;4;9;9;16;10;14;14;16;6
C;0;7;10;13;12;10;13;14;12;9
C;5;5;7;6;11;15;16;17;7;11
A;14;19;20;18;13;7;5;2;1;1
A;18;12;16;16;12;10;10;2;1;3
C;0;3;7;9;10;19;20;13;7;12
A;14;13;20;14;15;12;8;2;1;1
C;4;4;6;13;14;10;13;12;16;8
A;18;16;8;15;11;9;10;5;7;1
C;2;4;9;8;6;14;22;13;17;5
C;3;3;4;11;14;10;19;19;9;8
B;5;11;13;13;17;10;11;9;7;4
A;9;14;12;24;15;14;3;2;5;2
A;17;15;15;8;11;10;9;9;5;1
C;2;5;10;7;7;17;12;14;13;13
C;2;6;5;5;10;16;14;18;13;11
C;2;4;3;10;13;19;18;11;9;11
B;5;7;13;16;16;20;5;7;8;3
B;6;11;12;10;8;14;14;9;9;7
C;0;5;7;7;14;8;22;19;11;7
C;1;7;5;8;14;20;14;9;14;8
B;12;11;10;7;15;12;15;9;8;1
A;7;22;20;15;11;11;10;1;2;1
B;5;9;8;14;17;13;15;6;9;4
A;10;13;14;12;12;17;10;5;4;3
C;1;6;4;13;15;13;16;13;13;6
A;12;14;15;19;14;6;12;5;2;1
A;20;17;10;16;11;7;7;5;5;2
A;8;12;18;16;15;12;7;5;3;4
A;13;9;19;22;15;8;6;5;2;1
C;2;4;6;10;12;18;13;9;15;11
C;7;6;4;5;15;10;16;14;8;15
B;9;8;9;11;23;9;10;9;9;3
C;3;5;8;10;7;18;24;7;8;10
B;4;7;11;15;17;18;12;4;5;7
A;8;12;16;21;12;11;10;7;2;1
B;9;9;11;15;11;14;13;7;7;4
B;6;7;21;9;14;10;13;9;4;7
A;9;18;16;22;16;6;7;3;1;2
A;9;10;20;18;12;9;7;5;7;3
C;0;11;7;7;12;8;15;13;12;15
B;6;11;15;15;9;14;8;5;9;8
A;13;23;12;9;19;10;8;5;1;0
C;0;3;7;6;15;13;13;13;16;14
C;2;5;8;8;11;13;21;11;8;13
B;7;10;10;10;17;15;8;10;10;3
A;10;15;13;17;20;14;4;2;2;3
B;7;15;11;13;16;6;12;7;5;8
C;1;3;14;9;10;14;17;12;10;10
C;1;7;8;10;14;10;9;16;15;10
C;3;6;9;6;8;14;16;11;14;13
B;6;8;11;13;22;8;15;8;5;4
C;2;4;12;15;12;18;11;12;2;12
A;9;11;17;23;18;9;9;0;3;1
B;4;13;16;13;10;13;7;17;6;1
B;9;8;8;14;17;19;7;10;6;2
B;5;11;18;11;14;17;9;11;3;1
B;5;7;13;12;16;11;18;7;6;5
B;5;6;10;15;14;12;16;14;3;5
B;3;10;10;16;14;20;8;8;9;2
C;3;5;8;10;22;17;12;10;9;4
A;11;12;22;17;13;10;5;6;3;1
A;19;9;11;15;13;10;9;10;2;2
B;3;5;16;12;11;20;11;12;6;4
A;14;19;16;12;14;10;6;4;3;2
B;6;8;12;17;16;8;14;12;6;1
C;1;3;5;14;15;17;13;14;13;5
B;7;10;10;14;18;10;9;10;5;7
C;1;5;7;15;10;15;10;19;8;10
B;5;7;12;19;15;7;13;14;6;2
C;4;3;7;7;14;16;16;13;13;7
C;4;3;4;8;12;5;18;16;18;12
B;11;18;13;8;14;14;9;6;5;2
B;5;13;9;10;12;15;13;9;11;3
B;8;6;9;19;16;10;16;8;6;2
B;7;12;15;16;9;14;5;7;11;4
B;8;11;6;15;15;14;16;6;8;1
B;5;12;16;10;16;13;15;8;3;2
A;8;10;21;18;17;12;6;7;0;1
A;18;15;26;12;11;6;5;3;3;1
B;9;6;16;12;10;11;15;13;5;3
B;3;9;18;10;17;14;11;12;3;3
A;17;10;12;22;11;14;9;3;1;1
C;2;3;5;11;14;14;13;17;13;8
A;12;14;14;13;15;11;12;4;4;1
A;15;15;13;19;10;13;9;1;3;2
A;19;15;17;17;13;3;9;3;3;1
A;14;19;21;12;14;4;7;8;0;1
C;3;8;5;7;4;11;15;18;12;17
C;3;6;9;9;6;15;13;15;14;10
B;4;7;11;9;16;12;13;12;10;6
C;2;3;6;9;11;20;16;16;9;8
A;15;14;12;18;9;7;7;11;4;3
B;3;12;8;17;19;15;14;5;4;3
A;12;18;13;23;9;7;8;5;2;3
B;6;6;11;10;19;16;16;9;6;1
B;6;11;8;9;15;8;17;6;10;10
B;8;6;13;16;10;12;13;11;9;2
C;2;1;10;11;13;16;13;14;11;9
A;10;15;16;12;10;10;13;9;3;2
A;16;10;18;17;20;9;7;0;2;1
C;5;2;9;9;12;17;13;14;12;7
A;9;19;13;15;15;13;5;3;6;2
A;14;17;17;12;18;7;5;4;4;2
A;14;20;17;14;10;9;7;5;2;2
C;1;8;6;11;13;11;15;11;17;7
A;13;20;19;10;11;10;7;7;2;1
A;15;16;23;12;12;10;4;5;2;1
C;2;1;9;7;11;17;14;14;15;10
C;2;4;6;14;10;14;17;11;6;16
B;3;9;13;15;15;13;17;5;5;5
A;11;14;13;15;17;10;9;7;4;0
A;17;15;16;14;17;8;6;2;5;0
A;12;14;18;19;16;7;7;3;2;2
A;13;14;23;11;13;11;8;4;3;0
A;12;19;10;13;17;17;3;2;5;2
C;1;2;3;6;18;12;12;17;11;18
C;3;5;9;6;16;7;20;15;9;10
C;2;4;7;7;9;17;15;17;14;8
A;16;20;18;15;13;3;7;1;3;4
C;3;5;3;9;11;17;12;20;7;13
C;2;1;5;9;18;19;18;9;16;3
B;5;8;13;12;10;18;6;12;11;5
C;0;3;6;14;15;13;15;10;12;12
C;5;5;6;11;15;12;18;14;8;6
B;6;12;13;12;11;14;8;7;11;6
C;3;0;3;9;12;12;21;14;13;13
C;3;3;5;11;15;11;23;10;10;9
C;2;5;4;9;12;19;20;10;9;10
B;8;8;10;19;18;12;7;9;4;5
A;9;18;19;15;13;13;4;8;1;0
C;1;2;8;11;18;16;18;11;6;9
C;0;5;7;11;7;14;15;14;17;10
A;9;10;18;21;9;15;5;5;6;2
C;3;3;7;8;12;7;15;23;13;9
C;2;1;3;8;22;14;13;16;12;9
B;8;13;7;14;17;13;9;10;6;3
C;5;3;7;5;15;10;13;18;12;12
A;13;16;10;25;10;12;4;7;3;0
B;6;11;10;8;13;13;22;8;4;5
A;8;15;12;16;22;11;5;2;3;6
A;8;16;18;15;17;12;6;5;3;0
B;10;10;8;10;21;14;12;7;6;2
A;17;13;20;16;12;5;8;4;4;1
A;19;15;13;14;11;9;4;8;4;3
C;1;5;7;14;13;17;17;8;11;7
C;1;5;8;10;9;6;17;19;14;11
B;6;8;12;14;10;14;13;8;11;4
B;8;6;12;18;18;15;14;2;4;3
B;5;8;9;18;21;13;10;6;6;4
B;8;12;9;19;12;13;9;7;5;6
A;13;17;17;7;14;14;8;6;2;2
A;19;15;10;23;10;6;5;10;1;1
B;5;6;16;11;10;15;15;11;6;5
